"id","occurrenceID","catalogNumber","basisOfRecord","collectionCode","scientificName","taxonRank","kingdom","family","higherClassification","vernacularName","previousIdentifications","individualCount","lifeStage","sex","longitudeDecimal","latitudeDecimal","geodeticDatum","dataGeneralizations","coordinateUncertaintyInMeters","continent","country","countryCode","stateProvince","locality","habitat","recordedBy","eventID","eventDate","eventTime","samplingProtocol","behavior","associatedTaxa","references","rightsHolder","license","modified"
"99999911@OBS","https://observation.org/observation/99999911","OBS.99999911","HumanObservation","Observations","Buteo buteo","species","Animalia","HAWKS_AND_EAGLES_ACCIPITRIDAE","Animalia|HAWKS_AND_EAGLES_ACCIPITRIDAE","Common Buzzard",NA,2,"unknown","undetermined",5.2,52.35,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Flevoland","Almere","",NA,NA,"2015-03-14","17:17",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999911","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999910@OBS","https://observation.org/observation/99999910","OBS.99999910","HumanObservation","Observations","Riparia riparia","species","Animalia","SWALLOWS_HIRUNDINIDAE","Animalia|SWALLOWS_HIRUNDINIDAE","Sand Martin",NA,1,"unknown","undetermined",5,52.3,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Holland","Muiden - Vijfhoek - Haven Ballast","",NA,NA,"2015-03-14","17:30",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999910","Stichting Natuurinformatie","CC BY-NC 4.0","2015/04/06"
"99999909@OBS","https://observation.org/observation/99999909","OBS.99999909","HumanObservation","Observations","Mareca penelope","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Eurasian Wigeon",NA,10,"unknown","undetermined",5.25,51.5,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Kampina - Overstromingsvlakte van de Beerze ","little (lowland)rivers and peat streams",NA,NA,"2015-03-11","15:30",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999909","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999908@OBS","https://observation.org/observation/99999908","OBS.99999908","HumanObservation","Observations","Castor fiber","species","Animalia","BEAVERS_CASTORIDAE","Animalia|BEAVERS_CASTORIDAE","Eurasian Beaver",NA,1,"unknown","undetermined",5.75,51.05,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Limburg","Illickhoven - Kink Ruitersdijk","",NA,NA,"2015-03-14","15:10",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999908","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/28"
"99999905@OBS","https://observation.org/observation/99999905","OBS.99999905","HumanObservation","Observations","Mergus merganser","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Common Merganser",NA,1,"unknown","undetermined",5.95,51.85,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Gelderland","Ooijpolder - Duffelt - Kaliwaal","",NA,NA,"2015-03-14","13:35",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999905","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999902@OBS","https://observation.org/observation/99999902","OBS.99999902","HumanObservation","Observations","Calidris alpina","species","Animalia","SANDPIPERS_AND_ALLIES_SCOLOPACIDAE","Animalia|SANDPIPERS_AND_ALLIES_SCOLOPACIDAE","Dunlin",NA,3,"unknown","undetermined",6.05,52.35,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Gelderland","Veessen - Welsumerwaard noord","",NA,NA,"2015-03-14","14:00",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999902","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999901@OBS","https://observation.org/observation/99999901","OBS.99999901","HumanObservation","Observations","Spheniscus demersus","species","Animalia","PENGUINS_SPHENISCIDAE","Animalia|PENGUINS_SPHENISCIDAE","African Penguin",NA,10,"unknown","undetermined",18.4538412453,-34.1977673408,"WGS84","",10,"Africa","South Africa","ZA","","South Africa - Simonstown - Boulders Beach","",NA,NA,"2015-02-21","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999901","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"999998@OBS","https://observation.org/observation/999998","OBS.999998","HumanObservation","Observations","Ranunculus repens","species","Plantae","RANUNCULACEAE","Plantae|RANUNCULACEAE","Creeping Buttercup",NA,1,"unknown","undetermined",6.75,52.1,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Overijssel","Haaksbergerveen - Zuidwestelijk deel","",NA,NA,"1978-07-01","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.999998","Stichting Natuurinformatie","CC BY-NC 4.0","2013/11/13"
"99999896@OBS","https://observation.org/observation/99999896","OBS.99999896","HumanObservation","Observations","Neophron percnopterus majorensis","subspecies","Animalia","HAWKS_AND_EAGLES_ACCIPITRIDAE","Animalia|HAWKS_AND_EAGLES_ACCIPITRIDAE","Egyptian Vulture ssp majorensis",NA,2,"unknown","undetermined",-13.8704716048,28.3998577366,"WGS84","",1000,"Europe","Spain","ES","","Spain - Fuerteventura ","",NA,NA,"2015-03-11","15:33",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999896","Stichting Natuurinformatie","CC BY-NC 4.0","2019/02/24"
"99999891@OBS","https://observation.org/observation/99999891","OBS.99999891","HumanObservation","Observations","Recurvirostra avosetta","species","Animalia","STILTS_AND_AVOCETS_RECURVIROSTRIDAE","Animalia|STILTS_AND_AVOCETS_RECURVIROSTRIDAE","Pied Avocet",NA,2,"unknown","undetermined",5.6,53.3,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Friesland","Ferwert - Buitendijks","",NA,NA,"2015-03-14","12:45",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999891","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999888@OBS","https://observation.org/observation/99999888","OBS.99999888","HumanObservation","Observations","Bostrychia hagedash","species","Animalia","IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE","Animalia|IBISSES_AND_SPOONBILLS_THRESKIORNITHIDAE","Hadada Ibis",NA,1,"unknown","undetermined",18.4620669363,-34.2103193954,"WGS84","",100,"Africa","South Africa","ZA","","South Africa - Simonstown","",NA,NA,"2015-02-21","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999888","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999885@OBS","https://observation.org/observation/99999885","OBS.99999885","HumanObservation","Observations","Dendrocopos major","species","Animalia","WOODPECKERS_PICIDAE","Animalia|WOODPECKERS_PICIDAE","Great Spotted Woodpecker",NA,1,"unknown","undetermined",5.25,51.5,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Boxtel - Scheieind","",NA,NA,"2015-03-11","15:00",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999885","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999884@OBS","https://observation.org/observation/99999884","OBS.99999884","HumanObservation","Observations","Dama dama","species","Animalia","DEER_CERVIDAE","Animalia|DEER_CERVIDAE","Fallow Deer",NA,5,"unknown","undetermined",4.55,52.4,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Holland","Nationaal Park Zuid-Kennemerland - Midden Heerenduin","",NA,NA,"2015-03-14","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999884","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999877@OBS","https://observation.org/observation/99999877","OBS.99999877","HumanObservation","Observations","Mergus merganser","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Common Merganser",NA,2,"unknown","undetermined",4.6,52.4,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Holland","Nationaal Park Zuid-Kennemerland - Heerenduinen","",NA,NA,"2015-03-14","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999877","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/17"
"99999876@OBS","https://observation.org/observation/99999876","OBS.99999876","HumanObservation","Observations","Cerapteryx graminis","species","Animalia","Noctuidae","Animalia|Noctuidae","Antler Moth",NA,1,"imago","undetermined",6.2,53.35,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Groningen","Lauwersmeer - Ballastplaatbos","",NA,NA,"2014-06-20","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999876","Stichting Natuurinformatie","CC BY-NC 4.0","2018/07/02"
"99999874@OBS","https://observation.org/observation/99999874","OBS.99999874","HumanObservation","Observations","Hirundo rustica","species","Animalia","SWALLOWS_HIRUNDINIDAE","Animalia|SWALLOWS_HIRUNDINIDAE","Barn Swallow",NA,1,"adult breeding","undetermined",4.7,52,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Zuid-Holland","Gouda - Goudse Hout","",NA,NA,"2015-03-14","16:20",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999874","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/15"
"99999868@OBS","https://observation.org/observation/99999868","OBS.99999868","HumanObservation","Observations","Phalacrocorax carbo","species","Animalia","CORMORANTS_PHALACROCORACIDAE","Animalia|CORMORANTS_PHALACROCORACIDAE","Great Cormorant",NA,2,"unknown","undetermined",5.05,51.7,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Drongelens Kanaal - Waalwijk tot Maas","",NA,NA,"2015-03-14","15:50",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999868","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999866@OBS","https://observation.org/observation/99999866","OBS.99999866","HumanObservation","Observations","Timoclea ovata","species","Animalia","VENERIDAE","Animalia|VENERIDAE","Oval venus",NA,1,"empty shell or single valve","undetermined",3.7,51.4,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Zeeland","Borssele - Kaloot / Oostelijke Sloehavendam ","",NA,NA,"2015-02-28","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999866","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999864@OBS","https://observation.org/observation/99999864","OBS.99999864","HumanObservation","Observations","Vanessa cardui","species","Animalia","BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Animalia|BRUSHFOOTED_BUTTERFLIES_NYMPHALIDAE","Painted Lady",NA,1,"imago","undetermined",-13.8664767904,28.4027842754,"WGS84","",100,"Europe","Spain","ES","","Spain - Fuerteventura ","",NA,NA,"2015-03-12","10:28",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999864","Stichting Natuurinformatie","CC BY-NC 4.0","2017/08/12"
"99999861@OBS","https://observation.org/observation/99999861","OBS.99999861","HumanObservation","Observations","Podiceps cristatus","species","Animalia","GREBES_PODICIPEDIDAE","Animalia|GREBES_PODICIPEDIDAE","Great Crested Grebe",NA,2,"unknown","undetermined",5.05,51.7,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Drongelens Kanaal - Waalwijk tot Maas","",NA,NA,"2015-03-14","15:50",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999861","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999860@OBS","https://observation.org/observation/99999860","OBS.99999860","HumanObservation","Observations","Galerida cristata","species","Animalia","LARKS_ALAUDIDAE","Animalia|LARKS_ALAUDIDAE","Crested Lark",NA,1,"unknown","undetermined",1.56277701259,50.4128656101,"WGS84","",100,"Europe","France","FR","","France - Berck","",NA,NA,"2015-03-14","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999860","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999856@OBS","https://observation.org/observation/99999856","OBS.99999856","HumanObservation","Observations","Anser albifrons","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Greater White-fronted Goose",NA,124,"unknown","undetermined",5.25,51.5,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Kampina - Overstromingsvlakte van de Beerze ","little (lowland)rivers and peat streams",NA,NA,"2015-03-11","15:15",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999856","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999843@OBS","https://observation.org/observation/99999843","OBS.99999843","HumanObservation","Observations","Phalacrocorax carbo","species","Animalia","CORMORANTS_PHALACROCORACIDAE","Animalia|CORMORANTS_PHALACROCORACIDAE","Great Cormorant",NA,5,"unknown","undetermined",5.05,51.7,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Waalwijk - Rioolwaterzuivering en plas","",NA,NA,"2015-03-14","15:40",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999843","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999840@OBS","https://observation.org/observation/99999840","OBS.99999840","HumanObservation","Observations","Mareca strepera","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Gadwall",NA,6,"unknown","undetermined",5.25,51.5,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Kampina - Overstromingsvlakte van de Beerze ","little (lowland)rivers and peat streams",NA,NA,"2015-03-11","15:15",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999840","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999837@OBS","https://observation.org/observation/99999837","OBS.99999837","HumanObservation","Observations","Lamium purpureum","species","Plantae","Lamiaceae","Plantae|Lamiaceae","Red Dead-nettle",NA,5,"flowering","undetermined",5.05,51.55,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Tilburg - Korvel","inner cities and residential areas",NA,NA,"2015-03-14","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999837","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999836@OBS","https://observation.org/observation/99999836","OBS.99999836","HumanObservation","Observations","Phoca vitulina","species","Animalia","SEALS_PHOCIDAE","Animalia|SEALS_PHOCIDAE","Harbour Seal",NA,1,"unknown","undetermined",4.5,52.45,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Holland","IJmuiden - Noordzee","",NA,NA,"2015-03-14","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999836","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999834@OBS","https://observation.org/observation/99999834","OBS.99999834","HumanObservation","Observations","Anthus berthelotii","species","Animalia","PIPITS_EN_WAGTAILS_MOTACILLIDAE","Animalia|PIPITS_EN_WAGTAILS_MOTACILLIDAE","Berthelot's Pipit",NA,1,"unknown","undetermined",-13.8615200675,28.3908925374,"WGS84","",100,"Europe","Spain","ES","","Spain - Fuerteventura ","",NA,NA,"2015-03-12","08:14",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999834","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999830@OBS","https://observation.org/observation/99999830","OBS.99999830","HumanObservation","Observations","Anas crecca","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Eurasian Teal",NA,40,"unknown","undetermined",5.25,51.5,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Kampina - Overstromingsvlakte van de Beerze ","little (lowland)rivers and peat streams",NA,NA,"2015-03-11","15:15",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999830","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999818@OBS","https://observation.org/observation/99999818","OBS.99999818","HumanObservation","Observations","Phoenicopterus roseus","species","Animalia","FLAMINGOS_PHOENICOPTERIDAE","Animalia|FLAMINGOS_PHOENICOPTERIDAE","Greater Flamingo",NA,4,"subadult","undetermined",4.4,52.1,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Zuid-Holland","Leidschendam - Vogelplas Starrevaart","",NA,NA,"2015-03-14","15:40",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999818","Stichting Natuurinformatie","CC BY-NC 4.0","2015/06/26"
"99999811@OBS","https://observation.org/observation/99999811","OBS.99999811","HumanObservation","Observations","Ardea alba","species","Animalia","HERONS_ARDEIDAE","Animalia|HERONS_ARDEIDAE","Great Egret",NA,1,"unknown","undetermined",6.15,53.3,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Friesland","Lauwersmeer - Ezumakeeg Zuid","",NA,NA,"2015-03-14","16:00",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999811","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999807@OBS","https://observation.org/observation/99999807","OBS.99999807","HumanObservation","Observations","Arenaria interpres","species","Animalia","SANDPIPERS_AND_ALLIES_SCOLOPACIDAE","Animalia|SANDPIPERS_AND_ALLIES_SCOLOPACIDAE","Ruddy Turnstone",NA,1,"unknown","undetermined",-13.8590095199,28.3917608681,"WGS84","",10,"Europe","Spain","ES","","Spain - Fuerteventura ","",NA,NA,"2015-03-12","07:48",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999807","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999805@OBS","https://observation.org/observation/99999805","OBS.99999805","HumanObservation","Observations","Anas acuta","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Northern Pintail",NA,100,"unknown","undetermined",6.15,53.3,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Friesland","Lauwersmeer - Ezumakeeg Zuid","",NA,NA,"2015-03-14","16:00",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999805","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999802@OBS","https://observation.org/observation/99999802","OBS.99999802","HumanObservation","Observations","Ardea cinerea","species","Animalia","HERONS_ARDEIDAE","Animalia|HERONS_ARDEIDAE","Grey Heron",NA,1,"unknown","undetermined",5.05,51.7,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Waalwijk - Buitenpolder van Baardwijk","",NA,NA,"2015-03-14","15:25",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999802","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999801@OBS","https://observation.org/observation/99999801","OBS.99999801","HumanObservation","Observations","Mergus merganser","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Common Merganser",NA,4,"unknown","undetermined",5.85,52.5,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Flevoland","Vossemeer - Roggebotssluis NW","",NA,NA,"2015-03-13","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999801","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"999997@OBS","https://observation.org/observation/999997","OBS.999997","HumanObservation","Observations","Ranunculus flammula","species","Plantae","RANUNCULACEAE","Plantae|RANUNCULACEAE","Lesser Spearwort",NA,1,"unknown","undetermined",6.75,52.1,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Overijssel","Haaksbergerveen - Zuidwestelijk deel","",NA,NA,"1978-07-01","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.999997","Stichting Natuurinformatie","CC BY-NC 4.0","2013/11/13"
"99999798@OBS","https://observation.org/observation/99999798","OBS.99999798","HumanObservation","Observations","Limosa limosa","species","Animalia","SANDPIPERS_AND_ALLIES_SCOLOPACIDAE","Animalia|SANDPIPERS_AND_ALLIES_SCOLOPACIDAE","Black-tailed Godwit",NA,55,"unknown","undetermined",6.15,53.3,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Friesland","Lauwersmeer - Ezumakeeg Zuid","",NA,NA,"2015-03-14","16:00",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999798","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
